Загальновійськові частини і підрозділи,no
Артилерійські частини і підрозділи,no
Частини і підрозділи ППО,no
Підрозділи спеціальних військ,no
Підрозділи матеріально-технічного забезпечення,no
Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),no
Пункти управління,no
Термінологія загального призначення,no
