ВМБ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""", Військово-морська база (морський район),no
ВМС,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Військово-морські сили,no
ВНП ВНЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Військовий навчальний підрозділ вищих навчальних закладів,no
ВОС,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Військово-облікова спеціальність,no
ГВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Групова вправа,no
ГНЦ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Гірський навчальний центр,no
ГШ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Генеральний штаб,no
ДБВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Двостороння бойова вправа,no
ДШВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Десантно-штурмові війська,no
ЗРВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Зенітні ракетні війська,no
ЗС України,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Збройні сили України,no
ІВФ та ПрО,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Інші військові формування та правоохоронні органи,no
ІМБД,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Імітаційне моделювання бойових дій,no
ІМЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Інструкторсько-методичне заняття,no
КБП,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Курси бойової підготовки,no
КЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Каталог завдань,no
КОМ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Концепція оперативних можливостей,no
КСП,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Командування сил підтримки Збройних Сил України,no
КСЛ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Командування сил логістики Збройних Сил України,no
КТСЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Комплексне тактико-стройове заняття,no
КШН,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Командно-штабне навчання,no
КШТ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Командно-штабне тренування,no
ЛТВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Льотно-тактична вправа,no
ЛТН,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Льотно-тактичне навчання,no
МО,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Міністерство оборони,no
МТЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Матеріально-технічне забезпечення (засоби),no
МЦМБ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Міжнародний центр миротворчості та безпеки Національної Академії сухопутних військ імені гетьмана Петра Сагайдачного,no
НБЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Навчально-бойове завдання,no
НМТБ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Навчальна матеріально-технічна база ,no
НУ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Наукова установа,no
НЦ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Навчальних центрах ,no
НТЦ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Навчально-тренувальний центр ,no
НЦПП,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Навчальний центр підготовки підрозділів ,no
ОВТ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Озброєння та військова техніка,no
ОВУ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Органи військового управління,no
ОК (ОУВ) (ОТУВ),"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Оперативне командування (оперативне угруповання військ) (оперативно-тактичне угруповання військ),no
ОТУ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Оперативно-тактичне угруповання,no
ПВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Польовий вихід,no
ПП та ОС,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Процес планування та оцінки сил,no
ППД,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Пункт постійної дислокації,no
ППО,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Протиповітряна оборона,no
ПНБЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Перелік навчально-бойових завдань,no
ПС,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Повітряні Сили,no
ПУ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Пункт управління,no
РВіА,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Ракетні війська і артилерія,no
РЕБ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Радіоелектронна боротьба,no
РЕР,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Радіоелектронна розвідка,no
РТВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Радіотехнічні війська,no
РТГр,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Ротна тактична група,no
РТН,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Ротне тактичне навчання,no
РХБз,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""","Радіаційний, хімічний, біологічний захист",no
РШТ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Роздільне штабне тренування,no
СВ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Сухопутні війська,no
СпП,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Спеціального призначення,no
ССпО,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Сили спеціальних операцій,no
СТІ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Стандарт індивідуальної підготовки,no
СТК,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Стандарт колективної підготовки,no
СТП,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Стандарт підготовки,no
СФОСМ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Спільний фонд оперативних сил та можливостей,no
СШТ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Спільне штабне тренування,no
